FROM_ID;TO_ID;DURATION_H;DIST_KM
10;59;1,689194444;83,0428
10;56;1,424833333;70,50912
10;57;1,902719444;100,80858
10;38;1,322852778;55,2251
10;36;1,757030556;77,83277
10;37;2,161675;101,88611
10;34;1,112283333;41,93535
10;35;2,148547222;99,21848
10;32;1,176841667;46,82011
10;33;0,439197222;13,17604
10;46;1,581694444;85,33323
10;44;0,862769444;35,64451
10;45;2,287302778;93,98547
10;42;1,444683333;54,56871
10;43;0,740008333;31,11313
10;40;2,037622222;86,49497
10;41;2,214633333;84,9903
10;22;0,707466667;27,97426
10;20;1,845172222;86,13882
10;21;1,146144444;48,4647
10;16;2,022836111;86,05136
10;30;1,688805556;66,37351
10;28;1,480886111;56,63087
10;29;2,268083333;93,40878
10;27;1,775463889;71,95231
10;24;0,800319444;28,51054
10;25;1,883188889;89,91916
10;7;1,488175;62,40113
10;4;1,085505556;51,12814
10;2;1,382327778;66,40858
10;14;0,758463889;29,36139
10;15;0,708622222;33,47993
10;12;1,568569444;76,9638
10;13;1,593619444;66,82484
10;10;0;0
10;11;0,824911111;36,58789
10;9;1,788525;90,44273
10;54;0,460861111;21,05115
10;55;1,17915;57,62788
10;52;2,539241667;112,9197
10;50;1,216075;45,28527
10;100;1,04825;50,5755
11;51;1,011844444;37,20419
11;48;0,808491667;31,59441
11;49;0,896297222;41,62261
11;58;1,141827778;53,8993
11;59;0,864311111;46,45682
11;56;0,59995;33,92314
11;57;1,077838889;64,2226
11;38;1,455772222;64,20066
11;36;1,075327778;50,55331
11;37;1,336794444;65,30014
11;34;0,484594444;19,979
11;35;1,323666667;62,6325
11;32;0,495136111;19,54065
11;33;0,916658333;35,39852
11;46;0,756813889;48,74726
11;44;0,242330556;14,20244
11;45;1,6056;66,70601
11;42;0,824244444;33,12664
11;43;1,030569444;37,81323
11;40;1,355916667;59,21551
11;41;1,389752778;48,40433
11;22;0,831613889;32,36995
11;20;1,086561111;59,27029
11;21;0,525705556;27,02263
11;16;1,341130556;58,77189
11;30;0,863925;29,78753
11;28;0,799180556;29,3514
11;29;1,586377778;66,12932
11;27;0,950583333;35,36634
11;24;0,975938889;36,61783
11;25;1,058308333;53,33318
11;7;0,867736111;40,95905
11;4;0,260622222;14,54217
11;2;1,028552778;61,61677
11;14;0,803272222;30,99432
11;15;1,383091667;65,55455
11;12;0,743686111;40,37783
11;13;0,911913889;39,54538
11;10;0,824911111;36,58789
11;11;0;0
11;9;0,963644444;53,85676
11;54;0,364055556;15,53708
11;55;0,558711111;36,18581
11;52;1,714358333;76,33373
11;50;0,632925;26,75914
11;100;0,223369444;13,98952
12;51;1,271883333;47,54417
12;48;1,551155556;54,77146
12;49;1,575702778;59,63664
12;58;1,435336111;52,61837
12;59;0,588733333;20,58079
12;56;0,384730556;11,97056
12;57;0,760019444;32,97633
12;38;1,138786111;45,90354
12;36;1,818983333;90,92922
12;37;0,919347222;27,58059
12;34;1,228252778;60,35491
12;35;0,981111111;33,71402
12;32;1,238794444;59,91656
12;33;1,660313889;75,77444
12;46;0,438991667;17,50099
12;44;0,985988889;54,57836
12;45;2,156666667;74,08783
12;42;1,5679;73,50255
12;43;1,774227778;78,18915
12;40;1,907269444;66,6058
12;41;1,172666667;41,19735
12;22;1,090063889;41,20654
12;20;0,768741667;28,02402
12;21;1,269361111;67,39855
12;16;1,8922;66,15371
12;30;0,854063889;18,68854
12;28;1,542838889;69,72731
12;29;2,137727778;73,51961
12;27;0,893430556;32,82018
12;24;1,719597222;76,99374
12;25;0,625708333;18,77138
12;7;1,611394444;81,33497
12;4;0,584480556;27,63063
12;2;0,710730556;30,3705
12;14;1,546930556;71,37023
12;15;1,510952778;72,81636
12;12;0;0
12;13;1,655572222;79,9213
12;10;1,568569444;76,9638
12;11;0,743686111;40,37783
12;9;0,621088889;24,93828
12;54;1,107713889;55,91299
12;55;1,302369444;76,56172
12;52;1,371802778;47,41524
12;50;1,376583333;67,13505
12;100;0,541505556;26,70611
13;51;0,639236111;19,42157
13;48;1,5772;61,83136
13;49;1,665005556;71,85955
13;58;1,910538889;84,13625
13;59;1,776197222;86,00028
13;56;1,511836111;73,4666
13;57;1,989725;103,76606
13;38;2,367658333;103,74412
13;36;0,521072222;15,63219
13;37;2,074338889;62,72885
13;34;1,202169444;42,06948
13;35;1,960069444;51,78991
13;32;0,924611111;32,71876
13;33;1,685366667;65,63548
13;46;1,668697222;88,29072
