FROM_ID;TO_ID;DURATION_H;DIST_KM
5;5;0;0
5;6;0,505355556;18,04955
5;7;0,7692;34,43603
5;8;0,591533333;17,74605
5;9;1,939608333;97,00821
5;10;1,181838889;45,50309
5;11;1,348877778;66,4339
5;12;1,168713889;42,83546
5;13;1,359419444;65,99555
5;14;1,780938889;81,85342
5;15;0,448175;18,96069
5;16;1,106613889;60,65735
5;17;2,277294444;80,16682
5;18;1,688525;79,58155
5;19;1,894852778;84,26814
5;20;2,027894444;72,68479
5;21;1,360269444;50,31879
5;22;1,210688889;47,28553
5;23;0,777922222;29,48372
5;24;1,389986111;73,47754
5;25;2,012825;72,2327
5;26;0,974688889;24,76753
5;27;1,663463889;75,8063
5;28;2,258355556;79,5986
5;29;1,081033333;41,94162
5;30;1,840222222;83,07273
5;31;0,749669444;23,54662
5;32;1,732019444;87,41396
5;33;0,705105556;33,70962
5;34;0,641916667;17,9838
5;35;1,667555556;77,44923
5;36;1,378455556;54,76666
5;37;0,588733333;20,58079
5;38;1,776197222;86,00028
5;39;1,689194444;83,0428
5;40;0,864311111;46,45682
5;41;0,808691667;34,05972
5;42;1,228338889;61,99198
5;43;1,422994444;82,64071
5;44;1,559405556;56,53668
5;45;1,497208333;73,21404
5;0;0,662130556;32,7851
6;1;1,128147222;41,08948
6;2;1,407419444;48,31677
6;3;1,431966667;53,18195
6;4;1,291602778;46,16368
6;5;0,505355556;18,04955
6;6;0;0
6;7;0,718883333;35,81533
6;8;1,096813889;35,79339
6;9;1,675247222;84,47453
6;10;0,977836111;36,89287
6;11;1,084516667;53,90022
6;12;0,964708333;34,22524
6;13;1,095058333;53,46187
6;14;1,516577778;69,31974
6;15;0,397855556;20,33999
6;16;0,842252778;48,12366
6;17;2,012933333;67,63313
6;18;1,424163889;67,04786
6;19;1,630491667;71,73445
6;20;1,763533333;60,15111
6;21;1,156266667;41,70856
6;22;0,946327778;34,75185
6;23;0,727605556;30,86302
6;24;1,125625;60,94385
6;25;1,748463889;59,69902
6;26;0,711322222;12,9751
6;27;1,399102778;63,27262
6;28;1,993991667;67,06492
6;29;0,877027778;33,3314
6;30;1,575861111;70,53905
6;31;0,699352778;24,92592
6;32;1,467658333;74,88027
6;33;0,440744444;21,17594
6;34;0,669594444;33,2095
6;35;1,403194444;64,91554
6;36;1,469813889;75,65536
6;37;0,384730556;11,97056
6;38;1,511836111;73,4666
6;39;1,424833333;70,50912
6;40;0,59995;33,92314
6;41;0,604688889;25,44949
6;42;0,963977778;49,4583
6;43;1,158633333;70,10702
6;44;1,355402778;47,92646
6;45;1,232847222;60,68036
6;0;0,397769444;20,25142
7;1;1,606036111;71,38894
7;2;1,885308333;78,61623
7;3;1,909855556;83,48141
7;4;1,675719444;85,15386
7;5;0,7692;34,43603
7;6;0,718883333;35,81533
7;7;0;0
7;8;1,080358333;46,85494
7;9;2,153136111;114,77399
7;10;0,595944444;18,55296
7;11;1,562405556;84,19968
7;12;1,264972222;35,47525
7;13;1,572947222;83,76133
7;14;1,994466667;99,6192
7;15;0,321041667;15,47605
7;16;1,320141667;78,42313
7;17;2,490819444;97,93259
7;18;1,902052778;97,34732
7;19;2,108380556;102,03391
7;20;2,241422222;90,45057
7;21;1,496047222;45,355
7;22;1,424216667;65,05131
7;23;0,556797222;16,89235
7;24;1,603513889;91,24331
7;25;2,226352778;89,99848
7;26;1,188213889;42,53331
7;27;1,876991667;93,57209
7;28;2,471880556;97,36438
7;29;1,234361111;37,50435
7;30;2,05375;100,83851
7;31;0,446941667;13,40829
7;32;1,945547222;105,17973
7;33;0,918633333;51,4754
7;34;0,652305556;31,3219
7;35;1,881083333;95,215
7;36;1,452525;73,76777
7;37;0,760019444;32,97633
7;38;1,989725;103,76606
7;39;1,902719444;100,80858
7;40;1,077838889;64,2226
7;41;0,869088889;25,57913
7;42;1,441866667;79,75777
7;43;1,636522222;100,40648
7;44;1,659827778;49,30133
7;45;1,710736111;90,97982
7;0;0,875655556;50,55088
8;1;1,983969444;71,36699
8;2;1,602797222;63,62352
8;3;1,337738889;57,01777
8;4;1,092075;44,73438
8;5;0,591533333;17,74605
8;6;1,096813889;35,79339
8;7;1,080358333;46,85494
8;8;0;0
8;9;2,531069444;114,75205
8;10;1,594002778;58,06589
8;11;1,940336111;84,17773
8;12;1,760172222;60,57929
8;13;1,950877778;83,73938
8;14;1,655869444;65,21577
8;15;0,759330556;31,3796
8;16;1,698072222;78,40118
8;17;2,868752778;97,91065
8;18;2,279986111;97,32538
8;19;1,956680556;83,15287
8;20;2,619352778;90,42863
8;21;1,951730556;68,06262
8;22;1,437477778;56,14909
8;23;1,019030556;37,34918
8;24;1,981447222;91,22137
8;25;2,604283333;89,97654
8;26;1,566147222;42,51136
8;27;2,254925;93,55014
8;28;2,849813889;97,34244
8;29;1,672491667;59,68546
8;30;2,016991667;80,55027
8;31;1,156830556;43,27536
8;32;2,323477778;105,15779
8;33;1,296566667;51,45345
8;34;0,556188889;17,61895
8;35;1,975138889;81,40113
8;36;0,868880556;33,34829
8;37;1,138786111;45,90354
8;38;2,367658333;103,74412
8;39;1,322852778;55,2251
8;40;1,455772222;64,20066
8;41;1,40015;51,80355
8;42;1,677536111;73,09088
8;43;2,014452778;100,38454
8;44;2,150866667;74,28052
8;45;2,088666667;90,95788
8;0;1,253588889;50,52893
9;1;0,779861111;23,6403
9;2;1,740611111;72,83929
9;3;1,828419444;82,86748
9;4;2,07395;95,14417
9;5;1,939608333;97,00821
9;6;1,675247222;84,47453
9;7;2,153136111;114,77399
9;8;2,531069444;114,75205
9;9;0;0
9;10;2,214963889;66,94757
9;11;1,365580556;53,07741
9;12;2,100694444;56,00863
9;13;1,088022222;43,72668
9;14;1,848777778;76,6434
9;15;1,832111111;99,29865
9;16;1,17445;55,44732
9;17;0,941322222;28,48424
9;18;1,756363889;74,37152
9;19;1,962688889;79,05812
9;20;0,691641667;20,99373
9;21;1,376880556;41,55098
9;22;1,906911111;82,92134
9;23;2,161858333;109,82168
9;24;1,457825;68,26752
9;25;0,676855556;20,55012
9;26;1,939222222;80,33892
9;27;1,374177778;52,87995
9;28;0,922102778;27,90755
9;29;1,346480556;40,59955
9;30;1,908058333;77,86271
9;31;2,133605556;103,88457
9;32;1,799855556;82,20394
9;33;1,335919444;65,09355
9;34;2,10385;112,16816
9;35;1,735394444;72,2392
9;36;2,315211111;106,79943
9;37;1,818983333;90,92922
9;38;0,521072222;15,63219
9;39;1,757030556;77,83277
9;40;1,075327778;50,55331
9;41;1,804966667;52,97252
9;42;1,296175;56,78196
9;43;1,490830556;77,43069
9;44;2,367241667;67,57042
9;45;1,565044444;68,00402
9;0;1,298663889;64,54091
10;1;1,435733333;43,32614
10;2;2,144261111;79,69377
